GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT 90% Error Radius [arcsec]	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
120422A	07:12:03	520658	136.915	13.974	2.0	5.35	2.3	0.4	0.6	0.2	1.19, PL	0.24	09:07:38.42	14:01:06.0	1.8	95.07	312	0.01374254	0.01123796	-6.226	2.32199	0.0000681927	09:07:38.4	14:01:07.6	1	104	V>19.4	B>20.7|U=19.89|UVW1=19.84|UVM2=19.21|UVW2=18.98|White=20.51	Gemini-North (8m), Zadko (100cm), NOT, EVLA @ 6 and 22 GHz, MPI/ESO (2.2m), VLT, Palomar (200")	0.28 (Gemini-North: emission)|0.283 (VLT: emission)				Eleonora Troja
120404A	12:51:02	519380	235.002	12.883	1.2	38.7	16	1	1.2	0.2	1.85, PL	0.13	15:40:02.34	12:53:05.9	1.4	130.02	73.4	0.021299642	0.0052762	-2.17	1.89579	5.12667	15:40:02.29	12:53:06.3	0.65	138	V=17.69	B=19.22|U=19.90|UVW1>20.3|UVM2>21.5|UVW2>22.1|White=19.43	Faulkes North (2m), Gemini-North, TNT, MITSuME (50cm), Murikabushi (1m), VLT/UT2, Mt John University Observatory (61cm), MPG/ESO (2.2m), MASTER II, EVLA @ 22 GHz, ARIES (1.04m), ISON-Blagoveschensk Observatory (0.25m and 0.4m), Sayan Observatory	2.876 (Gemini-North: absorption)|~2.88 (VLT/UT2: absorption)				Giulia Stratta
120327A	02:55:16	518731	246.854	-29.415	1.1	62.9	36	1	3.9	0.2	1.52, PL	0.06	16:27:27.50	-29:24:54.1	1.5	75.61	541	0.07595896	0.023957956	-2.963	1.75797	14.6619	16:27:27.48	-29:24:53.74	0.48	141	V=15.68	B=16.97|U=18.02|UVW1>19.0|UVM2>19.2|UVW2>19.6	TAROT (25cm), Liverpool (2m), Skynet/PROMPT, REM, MPI/ESO (2.2m), IAC80 (82cm), Gemini-South, VLT/UT2, Otto-Struve (2.1m), Watcher (40cm), GTC (10.4), NOT, Murikabushi (1m), Zadko (100cm), ATCA @ 34 GHz, CTIO (1.3m)	2.81 (Gemini-South: absorption)|2.813 (VLT/UT2: absorption)| 2.813 (GTC: absorption)				Boris Sbarufatti
120326A	01:20:29	518626	273.906	69.248	1.0	69.6	26	3	4.6	0.2	1.41, CPL	0.34	18:15:37.12	69:15:35.5	1.4	59.54	201	0.448495	0.28005354	-3.606	1.86299	3.49005	18:15:37.13	69:15:35.36	0.5	67	V=18.67	B=20.23|U=19.66|UVW1=20.21|UVM2>21.2|UVW2=21.26|White=20.16	TAROT (25cm), Skynet/Dolomiti, Liverpool (2m), IAC80 (82cm), Crni Vrh (60cm), Otto-Struve (2.1m), GTC (10.4m), AstroCamp Observatory (0.43m), Lulin (1m), GMG (2.4m), Observatoire de Maisoncelles (30cm), TNT, SMA @ 219 GHz, Mt. Lemmon (1m), Bassano Bresciano Observatory, PAIRITEL (1.3m), Fermi (GBM), Murikabushi (1m), CARMA @ 92.5 GHz, Suzaku, MITSuME (1m), EVLA @ 21.9 GHz, HCT (2m), Cima Rest (508mm)	1.798 (GTC: absorption)				Mike Siegel
120119A	04:04:30.21	512035	120.029	-9.076	1.0	253.8	170	0	10.3	0.3	1.38, PL	0.04	08:00:06.91	-09:04:54.3	1.4	53.29	1060	0.1876052	0.043695994	-2.573	1.61077	10.5203	08:00:06.93	-09:04:53.7	0.59	62	V>19.1	B=19.4|U>19.3|UVW1>19.1|UVM2>19.3|UVW2>19.5|White=19.5	PAIRITEL (1.3m), Liverpool (2m), MPI/ESO (2.2m), PROMPT, Gemini-South (8m), Lick (3m), MMT (6.5m), ISON-NM (0.45m), Konus-Wind, Fermi (GBM), CTIO (1.3m), REM (60cm), TAROT (25cm), GRT,  Mt. Lemmon (1m)	1.728 (Gemini-South: absorption)|1.73 (Lick: absorption)|1.728 (MMT: absorption)				Andy Beardmore
120118B	17:00:21	512003	124.862	-7.178	1.3	23.26	18	1	2.2	0.3	2.08, PL	0.11	08:19:29.04	-07:11:05.1	1.4	112.09	n/a	0.06504489	0.028764318	-3.766	2.20884	2.82973	n/a	n/a	n/a	116	V>19.1	B>20.5|U>20.2|UVW1>19.0|UVM2>19.9|UVW2>19.8|White>21.6		2.943 (Keck I: emission)	I = 23.8 (Keck I)	UVOT: no detection		Owen Littlejohns
111229A	22:37:52	510736	76.561	-84.687	2.7	25.4	3.4	0.7	1.0	0.2	1.85, PL	0.33	05:05:09.56	-84:42:39.7	1.8	83.28	n/a	0.01212846	0.0014355032	0.005536	1.95309	3.69611	05:05:08.86	-84:42:39.1	0.55	87	V=17.70	B=18.75|U_fc=19.03|U=20.67|UVW1>20.4|UVM2>20.4|UVW2>21.4|White_fc=18.78|White=20.48	MPG/ESO (2.2m), Gemini-South, Faulkes South	1.3805 (Gemini-South: absorption)				Amy Lien
111228A	15:44:43	510649	150.063	18.284	1.4	101.20	85	2	12.4	0.5	2.27, PL	0.06	10:00:16.10	18:17:52.2	1.4	145.07	882	0.3853548	0.1496862	-5.445	2.03824	2.59076	10:00:16.01	18:17:51.8	0.75	155	V=17.73	B=17.71|U=16.70|UVW1=16.59|UVM2=16.84|White=17.30	TNT, TAROT (25cm), MITSuME (50cm), Fermi (GBM), ARIES NainiTal (1.04m), Asiago Telescope (1.82m), NOT (2.5m), DAO (16"), IAC80 (82cm), GRAS 017 (17"), MASTER II, MPG/ESO (2.2m), MMT (6.5m), PAIRITEL (1.3m), Gemini-South, TNG, GMG (2.4m), T100 (1.0m), VLT, Palomar (60"), Liverpool (2m), PROMPT, CTIO (1.3), Kanata (1.5m), Konus-Wind, Mt. Lemmon (1m), Devasthal Fast Optical Telescope (1.3m), ISON-NM (0.45m), TNG (3.6m)	0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption)				Tilan Ukwatta
111225A	03:50:37	510341	13.158	51.573	1.3	106.8	13	1.2	0.7	0.1	1.70, PL	0.15	00:52:37.32	51:34:18.3	1.6	88.14	296	0.013042395	0.005845995	-0.5722	1.80018	2.086314	00:52:37.22	51:34:19.5	0.67	95	V>21.1	U_fc=19.46|U>20.66|UVW1>20.4|UVM2>20.5|UVW2=21.36	TAROT (25cm), Super-LOTIS (0.6m), TNT, CAHA (1.23m), Keck I (10m), RAPTOR, Shajn Telescope, GTC (10.4)	0.297 (GTC: absorption)		GTC: Archeological redshift		Mike Siegel
111209A	07:12:08	509336	14.350	-46.799	1.0	n/a	360	10	0.5	0.1	1.48, PL	0.03	00:57:22.63	-46:48:03.7	1.4	418.89	1200	0.5651686	0.18121877	-0.365	1.81212	1.3807	00:57:22.63	-46:48:03.8	0.5	427	V=17.25	B=18.16|U=18.11|UVW1=17.16|UVM2=18.23|UVW2=17.96|White=17.73	TAROT (25cm), REM (60cm), Faulkes North (2m), PROMPT, ESO/MPG (2.2m), VLT, IRTF, Konus-Wind, ATCA @ 5.5, 9, and 18 GHz	0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption)		Swift Burst of Interest		Erik Hoversten
111123A	18:13:21	508319	154.845	-20.639	1.1	290.0	73	3	0.9	0.1	1.68, PL	0.07	10:19:23.13	-20:38:41.0	1.4	n/a	848	0.0775464	0.01625109	0.5636	2.55463	2.24049	n/a	n/a	n/a	110	V>20.2	B>20.7|U>20.8|UVW1>20.6|UVM2>20.6|UVW2>20.9|White>21.7	GMG (2.4m), TNG (3.6m)	3.1516 (VLT: emission from host)	g=25.83, I = 23.55 (Keck I), VLT			Mike Stamatikos
111107A	00:50:24	507185	129.487	-66.520	1.2	26.6	8.8	0.8	1.2	0.2	1.49, PL	0.14	08:37:54.39	-66:31:11.3	1.5	n/a	43.7	0.019535516	0.00984776	-4.058	2.11569	3.68767	08:37:54.66	-66:31:12.3	0.65	73	V>18.7	B>20.0|U>19.9|UVW1>19.2|UVM2>19.7|UVW2>20.0|White=19.45	Skynet, MPI/ESO (2.2m), Gemini-South, VLT, Fermi (GBM)	2.893 (Gemini-South: absorption)| 2.893 (VLT: absorption)				Mike Siegel
111008A	22:12:58	505054	60.439	-32.708	1.2	63.46	53	3	6.4	0.7	1.86, PL	0.09	04:01:48.23	-32:42:33.5	1.4	n/a	401	0.29127888	0.10396152	-3.275	1.94053	14.8112	n/a	n/a	n/a	99	V>19.0	B>19.7|U>20.6|UVW1>19.2|UVM2>21.0|UVW2>19.8|White>21.8	Gemini-South, NOT (2.5m), La Silla (2.2m), VLT, IAC80, Konus-Wind, EVLA @ 22 GHz, miniTAO (1.0m)	5.0 (Gemini-South: absorption)|4.9898 (VLT: absorption)				Curtis Saxton
110818A	20:37:49	500914	317.373	-63.981	1.4	103	40	2	1.6	0.3	1.58, PL	0.11	21:09:20.87	-63:58:51.7	1.4	n/a	n/a	0.03665448	0.012004236	-3.926	1.95985	11.6984	n/a	n/a	n/a	856	V>20.8	B>22.2|U>20.4|UVW1>20.9|UVM2>20.9|UVW2>21.2	VLT, Fermi (GBM)	3.36 (VLT: absorption)		UVOT: no detection		Craig Markwardt
110808A	06:18:54	458918	57.322	-44.177	2.7	48	3.3	0.8	0.4	0.2	2.32, PL	0.43	03:49:04.22	-44:11:41.7	1.7	n/a	54.2	0.027400745	0.016034068	-3.897	2.33721	0.000000366861	03:49:04.27	-44:11:40.1	0.64	120	V>18.7	B=18.64|U=18.2|UVW1>17.8|UVW2>18.3|White=18.48	VLT	1.348 (VLT: emission)				Giulia Stratta
110801A	19:49:42	458521	89.415	80.958	1.1	385	47	3	1.1	0.2	1.84, PL	0.10	05:57:44.63	80:57:22.7	1.5	n/a	354	0.07673925	0.021231245	-4.085	2.04784	2.45755	05:57:44.87	80:57:21.1	0.51	108	V=17.07	B=17.47|U_fc=15.89|U=15.68|UVW1=17.92|UVM2>20.2|UVW2=20.48|White_fc=18.06|White=17.23	ROTSE-IIId, TLS (2m/1.34m), MITSuME (1m), GTC (10.4m), MASTER II, BTA (6m), Mt.Terskol (Zeiss-600), CrAO	1.858 (GTC: absorption)				Max De Pasquale
110731A	11:09:30	458448	280.513	-28.536	1.0	38.8	60	1	11.0	0.3	1.15, PL	0.05	18:42:01.04	-28:32:13.7	1.4	n/a	584	0.1608164	0.0573116	1.287	1.85145	9.11048	18:42:00.99	-28:32:13.8	0.2	75	V=16.90	B=17.87|U_fc=17.71|U=18.37|UVW1>18.88|UVM2>18.77|UVW2>19.24|White_fc=15.85|White=17.64	Faulkes (North & South), Fermi (LAT & GBM), NOT, Konus-Wind, Gemini-North, Mt John University Observatory (61cm), Suzaku	2.83 (Gemini-North: absorption)				Sam Oates
110726A	01:30:40	458059	286.713	56.070	1.7	5.2	2.2	0.3	1.0	0.2	0.64, CPL	0.87	19:06:52.16	56:04:16.0	1.5	n/a	n/a	0.01954526	0.00926205	-0.9573	2.07738	0.751502	19:06:52.08	56:04:16.5	0.51	60	V=20.61	B=20.44|U_fc=18.41|U>21.25|UVW1>20.5|UVM2>21.1|UVW2>21.5|White_fc=17.84|White>20.85	ROTSE-IIId, Liverpool (2m), Murikabushi (1m), IAC80 (0.82m), Zeiss-1000 (1m), BTA (6m), Gemini-North	1.036 < z < 2.7 (Gemini-North)				Chris Wolf
110715A	13:13:50	457330	237.665	-46.237	1.0	13.0	118	2	53.9	1.1	1.25, CPL	0.12	15:50:44.06	-46:14:07.1	1.4	n/a	82.9	0.35489574	0.1681215	-0.5666	1.85342	11.8741	15:50:44.09	-46:14:06.53	0.56	100	V=19.3	U=17.86|B=19.5|UVW1>20.1|UVW2>20.1|UVM2>20.3|White=17.37	VLT, Konus-Wind, APEX, MPI/ESO (2.2m), ATCA @ 44.00 GHz, Ellinbank Observatory (0.32cm), Suzaku	0.82 (VLT: absorption)				Eda Sonbas
110503A	17:35:45	452685	132.799	52.211	1.0	10.0	100	4	1.35	0.06	0.88, CPL	0.25	08:51:06.28	52:12:26.8	1.4	93.63	205	0.27394282	0.0919154	-1.061	1.90907	1.36895	08:51:06.21	52:12:27.6	0.5	212	V=16.23	B=16.79|U=15.87|UVW1=16.15|UVM2=17.27|UVW2=17.72|White=17.09	GTC (10.4m), NOT, TLS (2m/1.34m), TNG, SARA (0.9m), EVLA @ 19.2 GHz and 24.5 GHz, Mt. Lemmon (1.0m), CrAO (Shajn), Konus-Wind, AAVSO (0.2m and 0.35m), TAROT (25cm)	1.613 (GTC: absorption)|1.61 (TNG: absorption), PAIRITEL (1.3m)				Mike Stamatikos
110422A	15:41:55	451901	112.057	75.100	1.0	25.9	410	10	30.7	1.0	0.86, CPL	0.10	07:28:11.33	75:06:24.4	1.4	814.50	62.1	0.30682548	0.09138792	-1.017	1.89199	10.4926	n/a	n/a	n/a	822	V=18.72	B=18.02|U=18.8|UVw1>19.4|UVm2>19.4|UVw2>19.6|White=19.5	AZT-33IK, MASTER II, NOT, Zeiss-1000, TNG (3.6m), THO (14"), McDonald Observatory (2.1m), Konus-Wind, Ishigakijima Astronomical Observatory (1m), CrAO (AZT-11), Suzaku, TNG, GTC (10.4m), CrAO (ZTSh), Herschel	1.77 (TNG: absorption)| 1.770 (GTC: absorption)				Vanessa Mangano
110213A	05:17:29	445414	42.978	49.278	1.4	48.0	59	4	1.6	0.6	1.83, PL	0.12	02:51:51.48	49:16:22.5	1.4	91.74	109	0.23456141	0.05631555	-5.392	1.96436	3.69049	02:51:51.39	49:16:23.54	0.5	100	V=16.19	B=16.77|U=15.94|UVW1=17.28|UVM2=18.72|UVW2=19.10|White=16.57	Palomar (60"), ROTSE-IIIb, Bok (2.3m), GRAS 011 (0.51 m), KAIT (0.76m), Sayan (AZT-33IK), Lightbuckets (0.61m), Taurus Hill Observatory, MITSuME (50cm), Konus-Wind, Fermi (GBM), RAPTOR, TNT, Yunnan Observatory (2.4m)	1.46 (Bok: absorption)				Valerio D'Elia
110205A	02:02:41	444643	164.603	67.533	2.2	257	170	0	3.6	0.2	1.80, PL	0.04	10:58:31.05	67:31:30.2	1.4	155.40	1400	0.05419368	0.014733216	-7.987	1.93577	2.34655	10:58:31.12	67:31:31.2	0.63	164	V=15.76	B=17.10|U=15.59|UVW1=18.23|UVM2=19.89|UVW2=19.89|White=17.01	TAROT (25cm), ROTSE-IIIb, Liverpool, Lick (3m), PAIRITEL (1.3m), GRAS 005, FLWO (1.5m), NOT (2.5m), Zeiss-600, Mt. Lemmon (1.0m), Newcastle Observatory (0.4m), Obs. Chante-Perdix (0.5m), Mt. Lulin (1.0m), MITSuME (50cm), Murikabushi (1m), Lightbuckets (0.61m), Konus-Wind, Himalayan Chandra Telescope (2m), Sayan (AZT-33IK), Suzaku, Calar Alto (2.2m), Konkoly Observatory (60/90cm), EVLA @ 22 GHz	1.98 (Lick: absorption, possible)|2.22 (FLWO: absorption, host)| 2.22 (NOT: absorption)				Andy Beardmore
110128A	01:44:33	443861	193.871	28.108	2.3	30.7	7.2	1.4	0.8	0.2	1.31, PL	0.30	12:55:35.13	28:03:54.4	1.6	140.47	n/a	0.014666366	0.00788215	-0.7959	1.74543	0.0000104555	12:55:35.10	28:03:54.1	1.3	144	V>20.09	U_fc=20.32|U>20.95|B>21.32|UV1W>20.34|UVM2>20.43|UVW2>20.88|White_fc=20.98|White>21.89	NOT (2.5m), VLT, WHT, TAROT, TNG (3.6m), Fermi (GBM)	2.339 (VLT: absorption)				Dirk Grupe
101225A	18:37:45	441015	0.2037	44.5739	3.6	1088.0	19	4	0.0	0.0	1.82, PL	0.32	00:00:47.51	44:36:01.1	1.4	1383.04	236	0.05127542	0.005115693	0.7596	1.81612	1.311323	n/a	n/a	n/a	1387	V>21.40	B=21.73|U>20.68|UVW1=20.58|UVM2=20.12|UVW2=19.62	NOT, WHT (4.2m), Calar Alto (1.23m), Palomar (60"), MMT (6.5m), McDonald Observatory (2.1m), Gemini North	0.847(arXiv:1302.2352v1)|0.40 (Keck I: emission)	R = 24.1 (NOT, possible host)			Judy Racusin
101219B	16:27:53	440635	12.259	-34.556	3.9	34	21	4	0.6	0.3	1.56, PL	0.16	00:48:55.42	-34:34:00.4	1.5	542.70	96.8	0.0473974	0.028567298	-1.038	1.85684	0.314000000330492	00:48:55.35	-34:33:59.5	0.62	156	V=17.55	B=18.79|U=17.25|UVW1=17.43|UVM2=18.15|UVW2=18.04|White=17.59	Fermi (GBM), MPI/ESO (2.2m), EVLA @ 8.46 GHz, GROND, ESO-VLT	0.5519 (ESO-VLT: tentative redshift)	UVW2 = 23.4 (Swift-UVOT: likely host)			Jonathan Gelbord
101219A	02:31:29	440606	74.586	-2.527	1.0	0.6	4.6	0.3	4.1	0.2	0.63, PL	0.09	04:58:20.49	-02:32:23.0	1.7	221.92	n/a	0.0001210944	0.000026662816	-1.94	1.53346	5.41159	n/a	n/a	n/a	278	V>19.7	B>20.3|U>20.5|UVW1>21.0|UVM2>20.2|UVW2>20.9|White>21.4	Konus-Wind	0.718 (Gemini-North: emission, host)	i~23.5 (Gemini-South)|J=21.6 (Magellan)	UVOT: no detection		Jonathan Gelbord
100906A	13:49:27	433509	28.697	55.634	1.0	114.4	120	0	10.1	0.4	1.78, PL	0.03	01:54:44.11	55:37:49.4	1.4	80.24	2340	0.11097593	0.023497346	-3.374	2.02817	9.1618	01:54:44.11	55:37:49.6	0.61	89	V=15.97	U=15.40|B=16.49|UVW1=17.13|UVM2>18.97|UVW2>19.19	MASTER, Faulkes North, Gemini-North, UKIRT, TLS (1.34m), Ondrejov (65cm), MITSuME (50cm), Virtual Telescope, Fermi (GBM), Murikabushi (1m), Konus-Wind, Konkoly Observatory, GRAS-007 (17"), RTT150, AMI Large Array @ 15 GHz, Zeiss-2000, Ondrejov (0.5m), GAS-250, AZT-14, Zeiss-600, Shajn Telescope, AZT-22	1.727 (Gemini-North: absorption)				Craig Markwardt
100902A	19:31:54	433160	48.626	30.970	1.3	428.8	32	2	1.0	0.1	1.98, PL	0.13	03:14:30.98	30:58:44.2	1.4	316.15	22000	0.12602814	0.0750101	-2.326	2.35636	4.49857	n/a	n/a	n/a	325	n/a	UVW1>20.7|UVM2>20.8|UVW2>21.2|White>20.8	ESO/MPI (2.2m), CFHT	4.5 (Swift XRT: tentative redshift)		UVOT: no detection		Taka Sakamoto
100901A	13:34:10	433065	27.252	22.751	3.5	439	21	3	0.8	0.2	1.52, PL	0.21	01:49:03.51	22:45:30.2	1.4	156.97	n/a	0.4044425	0.27774145	-0.6996	2.07397	3.0175	01:49:03.42	22:45:30.8	0.81	147	V=18.50	B=17.85|U=17.52|UVW1=18.53|UVM2=19.22|UVW2=20.73|White=18.58	Faulkes North, AZT-33IK, MASTER, Gemini-North, Z-600, NOT, MITSuME (50cm), Taurus Hill, SARA-North (0.9m), Himalayan Chandra Telescope (2m), Vega (0.7m), ROTSE-III, OSN (1.5m), ISON-NM (0.45m), TLS (1.34m), Kanata (1.5m), HCT (2m), Lightbuckets (0.61m), Zeiss-2000, Meade-35, Murikabushi (1m), UKIRT, Gnosca (0.4m), WSRT @ 4.9 GHz, AZT-11, EVLA @ 4.5 and 7.9 GHz, AZT-22	1.408 (Gemini-North: absorption, host redshift)				Stefan Immler
100816A	00:37:51	431764	351.738	26.568	1.0	2.9	20	1	10.9	0.4	0.73, CPL	0.24	23:26:57.58	26:34:42.2	1.4	82.85	131	0.032746956	0.014767674	-1.513	1.91138	2.22759	23:26:57.56	26:34:42.	0.5	91	V=21.56	B=21.07|U=20.39|UVW1=20.98|UVM2>21.42|UVW2>22.19|White=18.90	TNG (3.6m), TAROT (25cm), McDonald Observatory (2.1m), Gemini-North, Calar Alto (1.23m), Lulin (1m), NOT, VLT, Fermi (GBM), GTC (10.4m), Konus-Wind	0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption)				Sam Oates
100814A	03:50:11	431605	22.479	-17.990	1.0	174.5	90	2	2.5	0.2	1.47, PL	0.04	01:29:53.59	-17:59:43.8	1.4	87.31	618	1.0257732	0.36343398	0.1696	1.89414	0.787196	01:29:53.61	-17:59:43.6	0.6	153	V=17.91	B=21.22|U=16.84|UVW1=17.33|UVM2=17.86|UVW2>18.52|White=18.63	ROTSE-IIIc, Magellan Clay Telescope, IAC80 (0.82m), MPI/ESO (2.2m), McDonald Observatory (2.1m), Fermi (GBM), Lulin (1m), NOT, Liverpool (2m), Konus-Wind, ISON-NM (0.45m), EVLA @ 4.5 and 7.9 GHz, Suzaku, AZT-22	1.44 (Magellan: absorption)		UVOT: Interesting optical/UV lightcurve see GCN 11107 for details.		Andy Beardmore
100728B	10:31:55	430172	44.051	0.296	1.5	12.1	17	1	3.5	0.5	1.55, PL	0.14	02:56:13.50	00:16:51.8	1.5	97.05	n/a	0.021160965	0.006448505	-1.033	2.04379	3.94372	02:56:13.467	00:16:52.18	0.52	100	V=20.19	B=20.47|U=19.90|UVW1>20.50|UVM2>20.52|UVW2>20.93|White=17.43	KAIT, Lick (1.0m), PROMPT (16"), ISON-NM Observatory (0.45m), MPI/ESO (2.2m), Fermi (GBM), NOT, VLT	~2.8 (UVOT: photometric)|2.106 (VLT: absorption)		UVOT: The non-detection in the UV filters suggests a photometric redshift of  z~2.8		David Morris
100728A	02:18:24	430151	88.753	-15.259	1.0	198.5	380	0	5.1	0.2	1.18, PL	0.02	05:55:01.99	-15:15:19.6	1.4	76.72	2010	0.499293	0.1365831	-0.7973	1.90402	3.35678	n/a	n/a	n/a	86	V>20.06	U>20.04|B>20.37|UVW1>20.62|UVM2>20.69|UVW2>20.19|White>21.16	Fermi (GBM), MPI/ESO (2.2m), Konus-Wind, Suzaku	1.567 (VLT: emission, host)	r' = 25.0 +/- 0.2 (GROND)	UVOT: no detection		John Cannizzo
100724A	00:42:19	429868	194.569	-11.095	1.7	1.4	1.6	0.2	1.9	0.2	1.92, PL	0.21	12:58:10.37	-11:06:09.4	1.5	88.90	n/a	0.01544616	0.006768972	-1.057	1.94442	1.04041	n/a	n/a	n/a	74	V>18.31	U=18.17|B>18.99|UVW1>17.96|UVM2>18.19|UVW2>18.97|White>19.71	ESO/MPI (2.2m)	1.288 (VLT: absorption)		BAT: The observed T90 value for GRB 100724A is inconclusive. The relatively large spectral lag value and soft spectrum points towards long soft burst. Our conclusion is that this burst is likely to be in the long burst category.		Craig Markwardt
100704A	03:35:08	426722	133.639	-24.202	1.0	197.5	60	2	4.3	0.2	1.73, PL	0.06	08:54:33.96	-24:12:10.1	1.4	n/a	353	0.2478352	0.105584	-3.12	2.11575	3.36746	n/a	n/a	n/a	96	V>20.0	B>21.1|U>21.1|UVW1>21.1|UVM2>20.2|UVW2>20.7|White>21.8	Fermi (GBM), Konus-Wind	3.6 (Swift: tentative redshift)		UVOT: no detection		Dirk Grupe
100621A	03:03:32	425151	315.309	-51.102	1.0	63.6	210	0	12.8	0.3	1.90, PL	0.03	21:01:13.11	-51:06:23.0	1.4	76.03	7490	0.5943417	0.2785454	-3.023	2.3024	19.2552	n/a	n/a	n/a	85	V=19.49	U>20.14|B=20.27|UVW1=19.64|UVM2>19.66|UVW2=19.60|White=20.46	MPI/ESO (2.2m), VLT, SAAO (1.4m), Konus-Wind	0.542 (VLT: emission)				Tilan Ukwatta
100615A	01:59:03	424733	177.208	-19.483	1.0	39	50	1	5.4	0.2	1.87, PL	0.04	11:48:49.30	-19:28:52.2	1.4	62.40	615	0.45264234	0.22002318	-4.29	2.37643	12.8509	n/a	n/a	n/a	71	V>20.6	B>21.1|U>21.1|UVW1>21.1|UVM2>20.7|UVW2>21.1|White>22.2	Fermi (GBM), Chandra	1.398 (VLT: emission, host)	HST, VLT	UVOT: no detection		Valerio D'Elia
100513A	02:07:08	421814	169.606	3.617	1.5	84	14	1	0.6	0.1	1.62, PL	0.14	11:18:26.85	03:37:40.5	1.4	126.77	n/a	0.02210393	0.011482741	-4.591	2.25722	11.2825	n/a	n/a	n/a	130	V>19.02	B>19.89|U>20.22|UVW1>19.33|UVM2>19.59|UVW2>20.03|White>21.29	PAIRITEL (1.3m), Lick Observatory (40"), Gemini North, Faulkes South, CrAO (Shajn Telescope)	4.772 (Gemini North: absorption)		UVOT: no detection		Wayne Baumgartner
100425A	02:50:45	420398	299.161	-26.463	2.4	37.0	4.7	0.9	1.4	0.2	2.42, PL	0.32	19:56:47.16	-26:25:50.9	1.5	78.81	311	0.0435699	0.016759017	-2.718	2.17077	0.342503	n/a	n/a	n/a	88	V>19.76	B>19.71|U>19.08|UVW1>19.44|UVM2>20.87|UVW2>21.26|White>19.59	VLT, MPI/ESO (2.2m)	1.755 (VLT: absorption)		UVOT: no detection		Dirk Grupe
100424A	16:32:42	420367	209.453	1.512	1.5	104	15	1	0.4	0.1	1.83, PL	0.13	13:57:47.48	01:32:18.6	1.7	119.81	209	0.0011673456	0.00017251104	-0.4677	1.65736	2.00385	n/a	n/a	n/a	128	V>19.2	B>20.1|U>20.1|UVW1>19.7|UVM2>19.1|UVW2>20.0|White>21.2	Gemini North (8m)	2.465 (VLT: emission, host)	g = 26 (AB), I = 24.4 (Keck I)	UVOT: no detection		Erik Hoversten
100418A	21:10:08	419797	256.358	11.457	1.9	7.0	3.4	0.5	1.0	0.2	2.16, PL	0.25	17:05:27.22	11:27:40.0	1.8	79.13	127	0.0739878	0.0580596	-4.131	2.26662	0.00000416329	17:05:26.96	11:27:41.9	0.67	87	V>19.90	B=20.61|U=20.47|UVW1=20.47|UVM2=20.09|UVW2=20.73|White=20.58	ESO/MP (2.2m), SARA (0.9m), VLT, Gemini North, ROVOR (16"), PAIRITEL (1.3m), SMA @ 345 GHz, AZT-11, RTT150, REM (60cm), WSRT @ 4.8 GHz, EVLA, Z-600, Russian-Turkish (1.5m), Keck I (10m), Shajn	0.6235 (VLT: absorption)|0.624 (Gemini North: absorption)	g,r,and i bands (SDSS)	UVOT: possible evidence for a supernova		Frank Marshall
100413A	17:33:28	419404	266.223	15.835	1.5	191	62	2	0.7	0.1	1.25, PL	0.07	17:44:53.14	15:50:03.1	1.4	n/a	630	0.11989782	0.035478366	-2.46	1.95801	2.79802	n/a	n/a	n/a	150	V>20.4	B>20.7|U>20.7|UVw1>20.5|UVm2>20.4|UVw2>20.8|White>21.8	Konus-Wind, Suzaku, EVLA @ 8.5 GHz	3.9 (Swift-XRT: tentative)		UVOT: no detection		Stephen Holland
100316D	12:44:50	416135	107.599	-56.275	3.0	n/a	3.0	0.8	0.1	0.0	2.29, PL	0.41	07:10:30.63	-56:15:19.7	3.7	137.67	238	0.08340964	0.018489923	-0.1201	2.49431	4.04846	n/a	n/a	n/a	148	n/a	n/a	VLT, Gemini South, ESO/MPI (2.2m), Magellan (6.5m)	0.014		UVOT: no detection		Michael Stamatikos
